Model,Repeat,MSPE,RMSE,MAE,R2
OLS_wendland,1,160.1282958984375,12.654180965137076,6.362092018127441,-1.1546530723571777
OLS_sphere,1,2.7306699752807617,1.6524738954914724,0.8265239000320435,0.9632566571235657
DeepKriging_wendland,1,46.15829086303711,6.793989318731455,4.745780944824219,0.3789036273956299
DeepKriging_mrts,1,1.4926965236663818,1.2217596014218108,0.7554640173912048,0.9799146056175232
DeepKriging_sphere,1,0.8799751996994019,0.938069933266919,0.49489033222198486,0.9881592392921448
DeepKriging_sphere_Huber,1,0.760865330696106,0.8722759487089541,0.5193111300468445,0.9897619485855103
UniversalKriging,1,1.2423700575652146,1.1146165518083853,0.6281180016529122,0.9832829259825033
OLS_wendland,2,1057.1839599609375,32.514365439924205,7.48640775680542,-12.28555679321289
OLS_sphere,2,3.894681692123413,1.9734947915116,1.2977781295776367,0.9510558247566223
DeepKriging_wendland,2,36.511314392089844,6.042459299994485,4.3458027839660645,0.5411648750305176
DeepKriging_mrts,2,2.4839961528778076,1.576069843908514,0.9636558294296265,0.9687837958335876
DeepKriging_sphere,2,1.194469928741455,1.0929180796113929,0.5836231708526611,0.9849891662597656
DeepKriging_sphere_Huber,2,1.1367454528808594,1.0661826545582418,0.5518617033958435,0.9857146143913269
UniversalKriging,2,1.5175197863472796,1.231876530479934,0.6869220951408171,0.9809294354321858
OLS_wendland,3,52.903350830078125,7.273468968111304,4.736739635467529,-0.10807156562805176
OLS_sphere,3,2.101400375366211,1.4496207695001513,0.8371756076812744,0.9559857249259949
DeepKriging_wendland,3,24.802766799926758,4.980237624845501,3.522387742996216,0.4805009365081787
DeepKriging_mrts,3,1.1762624979019165,1.0845563599471981,0.6966630816459656,0.9753629565238953
DeepKriging_sphere,3,0.8288931250572205,0.910435678704004,0.5063139200210571,0.9826386570930481
DeepKriging_sphere_Huber,3,0.6945622563362122,0.8334040174706456,0.5044600963592529,0.9854522347450256
UniversalKriging,3,0.8908215218706046,0.9438334184964021,0.5775810339150842,0.9813415619498738
OLS_wendland,4,707.9403076171875,26.60714767909532,8.659173011779785,-7.910331726074219
OLS_sphere,4,2.5517349243164062,1.5974150757759882,0.9718541502952576,0.9678831696510315
DeepKriging_wendland,4,58.56914138793945,7.653047849578588,5.578404903411865,0.2628327012062073
DeepKriging_mrts,4,1.9858503341674805,1.4092020203531785,0.9809157848358154,0.975005567073822
DeepKriging_sphere,4,1.8512485027313232,1.3606059321976085,0.8414065837860107,0.9766996502876282
DeepKriging_sphere_Huber,4,1.933342456817627,1.3904468550856688,0.8413828611373901,0.9756664037704468
UniversalKriging,4,1.740073752097746,1.3191185511915697,0.8791548621450288,0.9780989547356792
OLS_wendland,5,2562.356201171875,50.619721464779666,8.182184219360352,-35.27407455444336
OLS_sphere,5,2.490877389907837,1.578251370950723,0.8815575838088989,0.9647378325462341
DeepKriging_wendland,5,37.47075653076172,6.121336172010301,4.398349761962891,0.46954405307769775
DeepKriging_mrts,5,1.3781325817108154,1.1739389173678567,0.7329786419868469,0.9804904460906982
DeepKriging_sphere,5,1.6318999528884888,1.2774583957563896,0.6027706861495972,0.9768979549407959
DeepKriging_sphere_Huber,5,1.14137601852417,1.0683520105864779,0.5795099139213562,0.9838420748710632
UniversalKriging,5,1.3575695811689499,1.1651478795281525,0.653090410124327,0.9807815227608825
OLS_wendland,6,92.90664672851562,9.638809404097357,4.809769630432129,-0.6358836889266968
OLS_sphere,6,1.4528276920318604,1.2053330212152409,0.6266650557518005,0.9744188785552979
DeepKriging_wendland,6,22.950454711914062,4.790663285173991,3.490152359008789,0.5958924293518066
DeepKriging_mrts,6,0.9942015409469604,0.9970965554784353,0.6929860711097717,0.9824942946434021
DeepKriging_sphere,6,0.5109787583351135,0.7148277822910309,0.454572856426239,0.9910027980804443
DeepKriging_sphere_Huber,6,0.678034245967865,0.8234283490188232,0.5000494718551636,0.9880613088607788
UniversalKriging,6,0.9553485365801376,0.9774193248448373,0.5777995982099182,0.9831783931580663
OLS_wendland,7,46.749263763427734,6.837343326426407,4.859798908233643,0.2214171290397644
OLS_sphere,7,1.9901914596557617,1.4107414574101669,0.6503998041152954,0.966854453086853
DeepKriging_wendland,7,30.062742233276367,5.482950139594228,3.7964839935302734,0.4993218779563904
DeepKriging_mrts,7,0.675082266330719,0.8216339004268988,0.5446364879608154,0.9887568950653076
DeepKriging_sphere,7,0.7502931952476501,0.8661946635991532,0.4723004102706909,0.9875043034553528
DeepKriging_sphere_Huber,7,0.8377142548561096,0.9152673133331648,0.5117409229278564,0.9860483407974243
UniversalKriging,7,0.6975679511562746,0.835205334726901,0.4577514226522702,0.9883823970124295
OLS_wendland,8,655.5652465820312,25.604008408490092,8.200896263122559,-5.367677688598633
OLS_sphere,8,5.171414852142334,2.2740745045275745,1.0372563600540161,0.9497686624526978
DeepKriging_wendland,8,43.949249267578125,6.629422996579576,4.562345504760742,0.5731093883514404
DeepKriging_mrts,8,2.589980125427246,1.6093415192019518,0.9965324997901917,0.9748428463935852
DeepKriging_sphere,8,1.4319099187850952,1.1966243850035378,0.7095007300376892,0.9860914945602417
DeepKriging_sphere_Huber,8,1.5855947732925415,1.259204023696137,0.7780024409294128,0.984598696231842
UniversalKriging,8,1.9547474082401968,1.3981228158642562,0.8121558409139683,0.9810130258874051
OLS_wendland,9,69.47830200195312,8.335364539236009,5.4228291511535645,0.014758646488189697
OLS_sphere,9,4.006613254547119,2.0016526308396068,1.396214246749878,0.943183958530426
DeepKriging_wendland,9,39.9476318359375,6.320413897517907,4.12808084487915,0.4335201382637024
DeepKriging_mrts,9,1.8758572340011597,1.3696193755935113,0.8635907173156738,0.97339928150177
DeepKriging_sphere,9,0.8905264735221863,0.9436771023619183,0.5381052494049072,0.9873718619346619
DeepKriging_sphere_Huber,9,0.9776297807693481,0.9887516274420731,0.5400803089141846,0.9861366748809814
UniversalKriging,9,1.2349726642105952,1.111293239523482,0.6157689887122362,0.9824873942616416
OLS_wendland,10,53853.86328125,232.06435159509095,20.123371124267578,-792.4528198242188
OLS_sphere,10,1.8710200786590576,1.3678523599639902,0.7045848369598389,0.9724334478378296
DeepKriging_wendland,10,40.434627532958984,6.358822810313162,4.469143867492676,0.404258668422699
DeepKriging_mrts,10,2.602114677429199,1.613107150014902,0.9331108331680298,0.9616618752479553
DeepKriging_sphere,10,0.743161141872406,0.8620679450440122,0.44038262963294983,0.9890506863594055
DeepKriging_sphere_Huber,10,0.7258276343345642,0.8519551832899218,0.44387122988700867,0.9893060326576233
UniversalKriging,10,1.2583878824382762,1.1217788919561091,0.5781489049471398,0.9814596128880659
OLS_wendland,11,52.611209869384766,7.253358523427941,5.788345813751221,0.268510103225708
OLS_sphere,11,3.4983489513397217,1.870387380020439,0.8153406381607056,0.9513600468635559
DeepKriging_wendland,11,41.1860466003418,6.41763559267288,4.750697135925293,0.42736202478408813
DeepKriging_mrts,11,1.2353113889694214,1.1114456302354252,0.7613751888275146,0.9828246235847473
DeepKriging_sphere,11,0.5533596277236938,0.7438814608011776,0.445148766040802,0.9923062324523926
DeepKriging_sphere_Huber,11,0.5624303221702576,0.7499535466748974,0.47984084486961365,0.9921801686286926
UniversalKriging,11,0.8045300114183712,0.896955969609641,0.5751316212375993,0.98881406384305
OLS_wendland,12,66.7006607055664,8.16704724521454,6.1621599197387695,0.18759727478027344
OLS_sphere,12,2.340311050415039,1.529807520708092,0.9480777382850647,0.9714953899383545
DeepKriging_wendland,12,46.94449996948242,6.851605649005379,4.686985492706299,0.42822396755218506
DeepKriging_mrts,12,1.5973186492919922,1.2638507227089726,0.8418811559677124,0.980544924736023
DeepKriging_sphere,12,0.734509289264679,0.8570351738783415,0.6206535696983337,0.9910538196563721
DeepKriging_sphere_Huber,12,0.8457884788513184,0.919667591497775,0.6515819430351257,0.9896984696388245
UniversalKriging,12,1.2213258897463424,1.1051361408199183,0.7256532511469792,0.9851244584707386
OLS_wendland,13,395.13690185546875,19.878050755933508,6.614373207092285,-4.928126335144043
OLS_sphere,13,3.1529181003570557,1.7756458262719668,1.2953312397003174,0.9526976346969604
